City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bethel,41.3712,-73.414,17.23,53,0,4.63,US,1728644482
83,brookings,44.3114,-96.7984,15.81,68,0,6.69,US,1728650254
84,campbellton,48.0075,-66.6727,10.25,54,82,6.68,CA,1728643235
85,port antonio,18.18,-76.4612,29.29,76,56,2.06,JM,1728644301
86,bilibino,68.0546,166.4372,-17.91,97,88,1.45,RU,1728675975
87,laguna,38.421,-121.4238,17.91,70,0,2.57,US,1728655870
88,mo i rana,66.3128,14.1428,3.51,92,75,1.03,NO,1728625674
89,chanute,37.6792,-95.4572,26.06,38,0,4.63,US,1728649599
90,gorontalo,0.5412,123.0595,24.32,98,95,0.84,ID,1728682261
91,keflavik,64.0049,-22.5624,1.24,55,40,4.63,IS,1728634137
92,energetik,51.7445,58.7934,-1.29,77,99,8.13,RU,1728613341
93,mathba,22.2855,89.9629,25.78,92,3,1.63,BD,1728604486
94,longyearbyen,78.2186,15.6401,4.91,70,75,10.8,SJ,1728629537
95,stronie slaskie,50.2955,16.874,7.25,84,100,1.54,PL,1728623312
96,lihue,21.9789,-159.3672,22.77,100,100,2.06,US,1728664330
97,whitehorse,60.7161,-135.0538,-0.57,86,20,5.66,CA,1728660755
98,san luis de la loma,17.2706,-100.8939,27.82,75,40,0.6,MX,1728650136
99,kruisfontein,-34.0033,24.7314,16.81,68,100,3.05,ZA,1728618246
100,west island,-12.1568,96.8225,26.99,83,75,7.72,CC,1728601783
101,utrik,11.2278,169.8474,27.29,83,99,9.23,MH,1728671367
102,kirakira,-10.4544,161.9205,25.98,84,99,1.62,SB,1728672587
103,bilgram,27.1833,80.0333,26.19,40,80,1.77,IN,1728607039
104,parkes,-33.1333,148.1833,11.31,54,28,2.81,AU,1728675008
105,nizhniy ingash,56.2,96.53,-4.52,60,52,2.17,RU,1728604626
106,pitimbu,-7.4706,-34.8086,27.49,62,96,6.47,BR,1728633511
107,saldanha,-33.0117,17.9442,16.16,79,72,5.68,ZA,1728619919
108,namibe,-15.1961,12.1522,21.85,80,20,5.53,AO,1728621995
109,leh,34.1667,77.5833,4.84,23,0,1.02,IN,1728607893
110,afaahiti,-17.75,-149.2833,22.68,81,100,4.93,PF,1728660633
111,gongju,36.4556,127.1247,14.48,84,0,0.75,KR,1728682545
112,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,65,75,6.0,RU,1728675950
113,wanning,18.8003,110.3967,25.67,84,49,2.77,CN,1728685883
114,lata,40.1629,-8.3327,19.72,47,100,3.36,PT,1728628792
115,harnai,30.1005,67.9374,24.21,19,0,0.27,PK,1728610050
116,st. john's,47.5649,-52.7093,14.04,68,40,7.2,CA,1728639853
117,badger,64.8,-147.5333,-1.07,90,100,0.0,US,1728664313
118,betio village,1.358,172.9211,27.02,68,52,5.22,KI,1728670322
119,saint-francois,46.4154,3.9054,15.69,62,0,2.06,FR,1728626184
120,n'zeto,-7.2312,12.8666,26.54,75,5,5.8,AO,1728622080
121,aasiaat,68.7098,-52.8699,-2.48,62,9,5.87,GL,1728642259
122,tari,-11.1105,14.3559,25.81,58,46,2.59,AO,1728621600
123,klyuchi,52.2667,79.1667,5.31,37,100,9.78,RU,1728608484
124,shrigonda,18.6167,74.6833,26.5,70,97,3.07,IN,1728608034
125,boyolangu,-8.1181,111.8935,25.03,90,83,1.55,ID,1728598294
126,jawhar,2.7809,45.5005,26.19,74,16,7.97,SO,1728614554
127,ust'-ilimsk,58.0006,102.6619,-6.95,91,13,1.17,RU,1728689852
128,san pedro,14.35,121.0167,27.57,95,20,1.54,PH,1728683187
129,jasidih,24.5167,86.65,25.18,67,3,2.12,IN,1728605357
130,dharamsala,32.2419,76.3213,13.77,59,0,3.18,IN,1728608119
131,port alfred,-33.5906,26.891,17.32,86,88,3.58,ZA,1728617747
132,north bend,43.4065,-124.2243,12.31,100,75,2.57,US,1728656793
133,juan griego,11.0817,-63.9655,32.07,62,55,7.2,VE,1728641076
134,portland,45.5234,-122.6762,13.99,83,100,3.13,US,1728656539
135,marat,25.0701,45.4615,31.34,11,11,4.11,SA,1728615264
136,calvi,42.5,8.8333,17.35,45,0,7.2,FR,1728624785
137,xishan,27.6667,113.5,20.28,54,71,1.55,CN,1728685454
138,morehead city,34.7229,-76.726,21.0,63,20,4.12,US,1728644971
139,zhigalovo,54.8097,105.1578,-4.56,70,10,0.54,RU,1728688951
140,kittila,67.6647,24.8936,3.08,93,75,5.14,FI,1728623334
141,santa elena de uairen,4.6167,-61.1333,28.74,47,100,3.77,VE,1728640199
142,obock,12.25,43.0833,26.42,61,0,2.83,DJ,1728615420
143,netivot,31.4222,34.5886,23.74,64,5,3.8,IL,1728618108
144,luganville,-15.5333,167.1667,24.7,84,92,4.16,VU,1728671157
145,bonga,7.2833,36.2333,16.56,98,79,0.78,ET,1728616913
146,atafu village,-8.5421,-172.5159,27.81,77,43,6.67,TK,1728752887
147,uturoa,-16.7333,-151.4333,25.32,75,34,6.81,PF,1728661184
148,libreville,0.3925,9.4537,26.82,80,76,4.39,GA,1728623132
149,minas de marcona,-15.2119,-75.1103,18.85,52,59,6.53,PE,1728642928
150,cabo san lucas,22.8909,-109.9124,29.86,83,20,1.79,MX,1728652489
151,bubaque,11.2833,-15.8333,27.31,75,100,3.16,GW,1728629530
152,mournies,35.4764,24.0092,37.04,78,20,1.54,GR,1728620813
153,kharkhorin,47.1975,102.8238,8.19,44,4,3.54,MN,1728688951
154,puerto deseado,-47.7503,-65.8938,13.0,30,11,6.11,AR,1728639167
155,olonkinbyen,70.9221,-8.7187,-2.9,89,100,17.67,SJ,1728632162
156,hasaki,35.7333,140.8333,20.61,69,93,3.9,JP,1728679220
157,tobelo,1.7284,128.0095,27.57,80,64,2.04,ID,1728681110
158,nuuk,64.1835,-51.7216,-0.66,93,5,1.54,GL,1728641176
159,sumbe,-11.2061,13.8437,26.23,75,20,4.59,AO,1728621720
160,ust-nera,64.5667,143.2,-8.82,96,100,2.65,RU,1728680936
161,al jawf,29.5,38.75,27.63,19,0,3.91,SA,1728617035
162,suva,-18.1416,178.4415,21.71,100,75,0.0,FJ,1728668361
163,isafjordur,66.0755,-23.124,1.02,64,75,3.09,IS,1728634598
164,furmanov,57.2508,41.1058,5.35,73,98,6.32,RU,1728618043
165,hulyaypole,47.6653,36.2578,17.57,57,68,3.8,UA,1728618486
166,marica,-22.9194,-42.8186,26.94,68,85,3.66,BR,1728634908
167,al jahra',29.3375,47.6581,30.32,33,0,3.82,KW,1728614891
168,fort bragg,35.139,-79.006,19.39,47,0,3.13,US,1728645536
169,avarua,-21.2078,-159.775,22.03,73,40,4.63,CK,1728663024
170,qionghu,28.843,112.3522,24.07,29,99,3.23,CN,1728685774
171,new norfolk,-42.7826,147.0587,8.84,72,59,1.92,AU,1728674753
172,tolanaro,-25.0319,46.9987,23.04,83,20,9.77,MG,1728613286
173,sangin,32.0728,64.8359,23.96,14,0,2.97,AF,1728610871
174,tralee,52.2704,-9.7026,13.14,50,0,0.0,IE,1728629838
175,charters towers,-20.1,146.2667,20.11,80,71,5.69,AU,1728676008
176,college,64.8569,-147.8028,-1.03,83,75,0.0,US,1728664387
177,crane,31.3974,-102.3501,27.73,22,0,5.42,US,1728650988
178,sassandra,4.95,-6.0833,27.36,72,76,3.56,CI,1728626998
179,kiselevsk,53.99,86.6621,0.61,73,100,3.86,RU,1728606813
180,dorval,45.4473,-73.7533,15.04,62,20,6.69,CA,1728644783
181,canitas de felipe pescador,23.6,-102.7167,18.01,37,5,3.9,MX,1728650786
182,daru,-9.0763,143.2092,25.86,88,91,7.38,PG,1728677121
183,sisimiut,66.9395,-53.6735,3.58,56,5,2.06,GL,1728642100
184,yellowknife,62.456,-114.3525,0.29,100,20,1.03,CA,1728655996
185,grenaa,56.4158,10.8783,10.12,85,81,0.89,DK,1728625231
186,majene,-3.5403,118.9707,25.66,86,100,2.3,ID,1728683114
187,privolzhskiy,51.4,46.0333,8.77,59,17,6.13,RU,1728616383
188,puerto leguizamo,-0.1934,-74.7819,34.85,43,100,0.92,CO,1728643327
189,codrington,-38.2667,141.9667,8.7,78,2,3.45,AU,1728676238
190,bonthe,7.5264,-12.505,24.34,87,100,2.26,SL,1728628617
191,dryden,49.7833,-92.7503,10.16,71,75,4.63,CA,1728649616
192,east end,34.5507,-92.341,25.54,53,3,0.45,US,1728648714
193,buritis,-15.6178,-46.4233,34.45,36,50,1.42,BR,1728636033
194,undurkhaan,47.3194,110.6556,5.68,58,4,3.69,MN,1728687077
195,rumonge,-3.9736,29.4386,20.75,92,100,0.92,BI,1728618204
196,mirnyy,62.5353,113.9611,-9.12,97,37,1.0,RU,1728687671
197,vanderbijlpark,-26.7117,27.838,27.16,15,69,2.12,ZA,1728617815
198,villeta,5.0089,-74.4723,27.55,62,41,2.47,CO,1728643412
199,churapcha,62.0025,132.4325,0.52,100,100,1.02,RU,1728683159
200,vaggeryd,57.4981,14.1484,8.16,73,7,4.43,SE,1728624546
201,williams lake,52.1415,-122.1445,10.76,86,20,1.54,CA,1728656847
202,thinadhoo,0.5333,72.9333,28.42,73,97,7.52,MV,1728607904
203,kavaratti,10.5669,72.642,25.77,89,98,7.65,IN,1728608274
204,saint-philippe,-21.3585,55.7679,20.82,77,84,6.55,RE,1728611319
205,errachidia,31.9275,-4.4285,32.03,18,0,2.06,MA,1728627496
206,muynoq,43.7683,59.0214,15.79,53,89,4.31,UZ,1728612796
207,nemuro,43.3236,145.575,9.45,75,27,5.13,JP,1728678454
208,al burayqah,30.4062,19.5739,28.2,63,35,3.56,LY,1728621674
209,bria,6.5423,21.9863,24.94,85,37,1.05,CF,1728620310
210,yazihan,38.5947,38.18,20.15,40,40,1.03,TR,1728617547
211,tofol,5.3248,163.0078,28.37,75,59,5.29,FM,1728672824
212,lobujya,27.95,86.8167,-6.84,39,0,2.24,NP,1728605438
213,dunedin,-45.8742,170.5036,9.33,77,71,2.16,NZ,1728668927
214,nelson,-41.2833,173.2833,7.38,85,2,2.24,NZ,1728668558
215,chernyshevskiy,63.0128,112.4714,-6.64,83,87,1.4,RU,1728688096
216,santa ana,33.7456,-117.8678,26.06,51,35,0.67,US,1728654809
217,qarchi gak,37.04,66.7889,25.97,19,84,3.59,AF,1728610607
218,laramie,41.3114,-105.5911,15.05,31,0,3.6,US,1728652208
219,ain sefra,32.75,-0.5833,27.8,27,0,1.38,DZ,1728626606
220,ribeira grande,38.5167,-28.7,20.43,49,40,6.69,PT,1728633606
221,chornobay,49.6708,32.3239,19.42,63,55,4.24,UA,1728619559
222,immokalee,26.4187,-81.4173,27.19,69,92,6.58,US,1728645773
223,dolores,-36.3132,-57.6792,26.67,41,1,4.62,AR,1728637893
224,fale old settlement,-9.3852,-171.2468,27.79,77,28,7.04,TK,1728752554
225,laurel,39.0993,-76.8483,18.68,56,0,3.6,US,1728645196
226,missoula,47.0166,-113.8009,2.22,49,99,1.24,US,1728654496
227,bamboo flat,11.7,92.7167,27.05,83,40,1.03,IN,1728603490
228,manggar,-2.8833,108.2667,28.17,82,96,2.71,ID,1728599323
229,sokol,59.4617,40.1206,5.76,80,81,6.2,RU,1728618501
230,chonchi,-42.6128,-73.8092,11.18,69,100,3.74,CL,1728641410
231,jamestown,42.097,-79.2353,17.79,55,0,3.6,US,1728645917
232,malango,-2.9627,119.9001,19.25,97,73,1.02,ID,1728682909
233,binzhou,37.3667,118.0167,16.22,32,81,2.48,CN,1728684774
234,lubumbashi,-11.6609,27.4794,25.79,20,6,1.64,CD,1728618434
235,carnarvon,-24.8667,113.6333,21.12,86,0,7.83,AU,1728683652
236,luwuk,-0.9516,122.7875,23.2,86,52,1.62,ID,1728682280
237,mukachevo,48.4419,22.7179,13.22,91,100,2.86,UA,1728621787
238,marsh harbour,26.5412,-77.0636,27.1,73,18,8.69,BS,1728644732
239,rengasdengklok,-6.1592,107.2981,28.31,72,50,1.6,ID,1728599457
240,shambu,9.5667,37.1,11.65,91,86,0.2,ET,1728616774
241,port elizabeth,-33.918,25.5701,17.95,87,0,3.09,ZA,1728618049
242,stiens,53.2623,5.7577,12.21,63,7,4.63,NL,1728626198
243,tual,-5.6667,132.75,27.92,81,100,6.76,ID,1728679740
244,nyurba,63.2842,118.3319,-9.52,96,29,1.8,RU,1728686725
